forecast_date,ticker,forecast_pct_change,forecast_trend
2025-12-02,NVDA,0.002651334022057913,1
2025-12-03,NVDA,0.002651334022057913,1
2025-12-04,NVDA,0.002651334022057913,1
2025-12-05,NVDA,0.002651334022057913,1
2025-12-08,NVDA,0.002651334022057913,1
2025-12-09,NVDA,0.002651334022057913,1
2025-12-10,NVDA,0.002651334022057913,1
2025-12-11,NVDA,0.002651334022057913,1
2025-12-12,NVDA,0.002651334022057913,1
2025-12-15,NVDA,0.002651334022057913,1
2025-12-16,NVDA,0.002651334022057913,1
2025-12-17,NVDA,0.002651334022057913,1
2025-12-18,NVDA,0.002651334022057913,1
2025-12-19,NVDA,0.002651334022057913,1
2025-12-22,NVDA,0.002651334022057913,1
2025-12-23,NVDA,0.002651334022057913,1
2025-12-24,NVDA,0.002651334022057913,1
2025-12-25,NVDA,0.002651334022057913,1
2025-12-26,NVDA,0.002651334022057913,1
2025-12-29,NVDA,0.002651334022057913,1
2025-12-30,NVDA,0.002651334022057913,1
2025-12-31,NVDA,0.002651334022057913,1
2024-12-31,PG,0.0,0
2025-01-01,PG,0.0,0
2025-01-02,PG,0.0,0
2025-01-03,PG,0.0,0
2025-01-06,PG,0.0,0
2025-01-07,PG,0.0,0
2025-01-08,PG,0.0,0
2025-01-09,PG,0.0,0
2025-01-10,PG,0.0,0
2025-01-13,PG,0.0,0
2025-01-14,PG,0.0,0
2025-01-15,PG,0.0,0
2025-01-16,PG,0.0,0
2025-01-17,PG,0.0,0
2025-01-20,PG,0.0,0
2025-01-21,PG,0.0,0
2025-01-22,PG,0.0,0
2025-01-23,PG,0.0,0
2025-01-24,PG,0.0,0
2025-01-27,PG,0.0,0
2025-01-28,PG,0.0,0
2025-01-29,PG,0.0,0
2025-01-30,PG,0.0,0
2025-01-31,PG,0.0,0
2025-02-03,PG,0.0,0
2025-02-04,PG,0.0,0
2025-02-05,PG,0.0,0
2025-02-06,PG,0.0,0
2025-02-07,PG,0.0,0
2025-02-10,PG,0.0,0
2025-02-11,PG,0.0,0
2025-02-12,PG,0.0,0
2025-02-13,PG,0.0,0
2025-02-14,PG,0.0,0
2025-02-17,PG,0.0,0
2025-02-18,PG,0.0,0
2025-02-19,PG,0.0,0
2025-02-20,PG,0.0,0
2025-02-21,PG,0.0,0
2025-02-24,PG,0.0,0
2025-02-25,PG,0.0,0
2025-02-26,PG,0.0,0
2025-02-27,PG,0.0,0
2025-02-28,PG,0.0,0
2025-03-03,PG,0.0,0
2025-03-04,PG,0.0,0
2025-03-05,PG,0.0,0
2025-03-06,PG,0.0,0
2025-03-07,PG,0.0,0
2025-03-10,PG,0.0,0
2025-03-11,PG,0.0,0
2025-03-12,PG,0.0,0
2025-03-13,PG,0.0,0
2025-03-14,PG,0.0,0
2025-03-17,PG,0.0,0
2025-03-18,PG,0.0,0
2025-03-19,PG,0.0,0
2025-03-20,PG,0.0,0
2025-03-21,PG,0.0,0
2025-03-24,PG,0.0,0
2025-03-25,PG,0.0,0
2025-03-26,PG,0.0,0
2025-03-27,PG,0.0,0
2025-03-28,PG,0.0,0
2025-03-31,PG,0.0,0
2025-04-01,PG,0.0,0
2025-04-02,PG,0.0,0
2025-04-03,PG,0.0,0
2025-04-04,PG,0.0,0
2025-04-07,PG,0.0,0
2025-04-08,PG,0.0,0
2025-04-09,PG,0.0,0
2025-04-10,PG,0.0,0
2025-04-11,PG,0.0,0
2025-04-14,PG,0.0,0
2025-04-15,PG,0.0,0
2025-04-16,PG,0.0,0
2025-04-17,PG,0.0,0
2025-04-18,PG,0.0,0
2025-04-21,PG,0.0,0
2025-04-22,PG,0.0,0
2025-04-23,PG,0.0,0
2025-04-24,PG,0.0,0
2025-04-25,PG,0.0,0
2025-04-28,PG,0.0,0
2025-04-29,PG,0.0,0
2025-04-30,PG,0.0,0
2025-05-01,PG,0.0,0
2025-05-02,PG,0.0,0
2025-05-05,PG,0.0,0
2025-05-06,PG,0.0,0
2025-05-07,PG,0.0,0
2025-05-08,PG,0.0,0
2025-05-09,PG,0.0,0
2025-05-12,PG,0.0,0
2025-05-13,PG,0.0,0
2025-05-14,PG,0.0,0
2025-05-15,PG,0.0,0
2025-05-16,PG,0.0,0
2025-05-19,PG,0.0,0
2025-05-20,PG,0.0,0
2025-05-21,PG,0.0,0
2025-05-22,PG,0.0,0
2025-05-23,PG,0.0,0
2025-05-26,PG,0.0,0
2025-05-27,PG,0.0,0
2025-05-28,PG,0.0,0
2025-05-29,PG,0.0,0
2025-05-30,PG,0.0,0
2025-06-02,PG,0.0,0
2025-06-03,PG,0.0,0
2025-06-04,PG,0.0,0
2025-06-05,PG,0.0,0
2025-06-06,PG,0.0,0
2025-06-09,PG,0.0,0
